filepath,song,artist,album
2008/01/01/1199167200484_21975.wav,Mountain Music,Alabama,Mountain Music
2008/01/01/1199167200486_34856.wav,Teenage Love Affair,Alicia Keys,As I Am
2008/01/01/1199167200486_81707.wav,Here It Goes Again,OK Go,Oh No
2008/01/01/1199167200486_93139.wav,Crazy Train,Ozzy Osbourne,The Essential Ozzy Osbourne
2008/01/01/1199167200487_28577.wav,Prelude,Jim Brickman,Love Songs & Lullabies
2008/01/01/1199167200487_37432.wav,Roxanne,The Police,The Police
2008/01/01/1199167200487_66574.wav,Fat Bottomed Girls,Queen,Queen: Greatest Hits
2008/01/01/1199167200487_80581.wav,The Nearness of You,Norah Jones,Come Away With Me
2008/01/01/1199167200488_16020.wav,It's Not Over,Daughtry,Daughtry
2008/01/01/1199167200488_85734.wav,Part Two,Burning Spear,"The Burning Spear Experience, Vol. 1"
2008/01/01/1199167200488_94589.wav,Under Pressure (with Queen),David Bowie,Best of Bowie
2008/01/01/1199167200489_36306.wav,Every Little Thing She Does Is Magic,The Police,The Police
2008/01/01/1199167200490_35180.wav,Learn to Fly,Foo Fighters,There Is Nothing Left to Lose
2008/01/01/1199167200490_41459.wav,"Take Me Home, Country Roads",John Denver,John Denver's Greatest Hits
2008/01/01/1199167200490_52890.wav,Dream All Day,The Posies,Frosting on the Beater
2008/01/01/1199167200490_75753.wav,Game's Pain,Game,LAX
2008/01/01/1199167200491_46611.wav,Bring Me Your Cup,UB40,Promises and Lies
2008/01/01/1199167200491_66898.wav,Tight Fittin' Jeans,Conway Twitty,Conway Twitty: The #1 Hits Collection
2008/01/01/1199167200491_78329.wav,We're an American Band,Grand Funk,We're an American Band
2008/01/01/1199167200491_87184.wav,Monday Morning Church,Alan Jackson,What I Do
2008/01/01/1199167200492_16344.wav,I Call It Love,Lionel Richie,Coming Home
2008/01/01/1199167200492_63195.wav,Here I Come,Barrington Levy,Here I Come
2008/01/01/1199167200492_74627.wav,Wherever You Will Go,The Calling,Camino Palmero
2008/01/01/1199167200493_56917.wav,Songs About Rain,Gary Allan,See If I Care
2008/01/01/1199167200493_59493.wav,Ain't Talkin' 'Bout Love,Van Halen,Van Halen
2008/01/01/1199167200493_79779.wav,Who We Are,Lifehouse,Who We Are
2008/01/01/1199167200494_44359.wav,The Tide Is High,Blondie,The Best of Blondie
2008/01/01/1199167200494_84932.wav,Shine,Collective Soul,"Hints, Allegations & Things Left Unsaid"
2008/01/01/1199167200495_52088.wav,Christine's Tune (A.K.A. Devil in Disguise),The Flying Burrito Brothers,Hot Burritos! - The Flying Burrito Brothers Anthology 1969-1972
2008/01/01/1199167200495_78653.wav,For No One,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200496_16668.wav,Forever,Papa Roach,The Paramour Sessions
2008/01/01/1199167200497_28099.wav,Delta Dawn,Tanya Tucker,Tanya Tucker: 20 Greatest Hits
2008/01/01/1199167200497_50962.wav,Sunday Morning,Maroon 5,Songs About Jane
2008/01/01/1199167200497_59817.wav,You Make Me Wanna...,Usher,Usher: Live
2008/01/01/1199167200498_18118.wav,Going On,Gnarls Barkley,The Odd Couple
2008/01/01/1199167200498_24397.wav,Fortunate Fool,Jack Johnson,Brushfire Fairytales (Remastered) [Bonus Version]
2008/01/01/1199167200498_33252.wav,Eight Miles High,The Byrds,Greatest Hits
2008/01/01/1199167200498_56115.wav,Get Up John,Emmylou Harris,Emmylou Harris and the Nash Ramblers At the Ryman
2008/01/01/1199167200498_85256.wav,(I Can't Help) Falling In Love With You,UB40,UB40: Greatest Hits
2008/01/01/1199167200499_11840.wav,The Chair,George Strait,Strait Out of the Box
2008/01/01/1199167200499_20695.wav,Pictures of You,The Last Goodnight,Poison Kiss
2008/01/01/1199167200499_23271.wav,Holding Her and Loving You,Earl Thomas Conley,The Essential Earl Thomas Conley
2008/01/01/1199167200499_78977.wav,She's Electric,Oasis,(What's the Story) Morning Glory
2008/01/01/1199167200500_37279.wav,You're Just a Country Boy,Alison Krauss,A Hundred Miles or More - A Collection
2008/01/01/1199167200500_95561.wav,With or Without You,U2,The Joshua Tree
2008/01/01/1199167200501_19569.wav,Hustler Musik,Lil Wayne,Tha Carter II
2008/01/01/1199167200501_31000.wav,Heart Shaped Box,Nirvana,In Utero
2008/01/01/1199167200501_42431.wav,Talking In Your Sleep,The Romantics,What I Like About You (And Other Romantic Hits)
2008/01/01/1199167200503_12164.wav,Name,The Goo Goo Dolls,A Boy Named Goo
2008/01/01/1199167200503_21019.wav,Feel Alright,Steve Earle,I Feel Alright
2008/01/01/1199167200503_23595.wav,Ain't No Other Man,Christina Aguilera,Back to Basics
2008/01/01/1199167200503_29874.wav,Slide,The Goo Goo Dolls,Dizzy Up the Girl
2008/01/01/1199167200503_43881.wav,You,Jim Brickman,The Essential Jim Brickman
2008/01/01/1199167200503_64168.wav,My Heroes Have Always Been Cowboys,Willie Nelson,One Hell of a Ride
2008/01/01/1199167200503_73023.wav,Game's Pain,Game,LAX
2008/01/01/1199167200505_22469.wav,Pink Bullets,The Shins,Chutes Too Narrow
2008/01/01/1199167200506_36477.wav,"Get Up, Stand Up",Bob Marley,Legend (Deluxe Edition)
2008/01/01/1199167200506_59339.wav,Apologize,OneRepublic,Dreaming Out Loud
2008/01/01/1199167200506_68194.wav,Bitch,Sevendust,Sevendust
2008/01/01/1199167200506_85904.wav,Kaya,Bob Marley & The Wailers,Kaya
2008/01/01/1199167200506_88480.wav,Goodbye Time,Blake Shelton,Loaded: The Best of Blake Shelton
2008/01/01/1199167200507_41629.wav,Black Hole Sun,Soundgarden,Superunknown
2008/01/01/1199167200507_84778.wav,Miss Me Blind,Culture Club,Culture Club
2008/01/01/1199167200508_17640.wav,Brahms' Lullaby,Jewel,Lullaby
2008/01/01/1199167200508_35350.wav,Suspicious Minds,Elvis Presley,Suspicious Minds
2008/01/01/1199167200508_98786.wav,Sexy Plexi,Jack Johnson,Brushfire Fairytales (Remastered) [Bonus Version]
2008/01/01/1199167200509_11362.wav,I've Been Everywhere,Johnny Cash,Unchained
2008/01/01/1199167200509_13938.wav,Sympathy for the Devil,The Rolling Stones,Singles 1968-1971
2008/01/01/1199167200509_22793.wav,Glycerine,Bush,Sixteen Stone
2008/01/01/1199167200509_83652.wav,Fool Hearted Memory,George Strait,Strait from the Heart
2008/01/01/1199167200509_95083.wav,Dare You to Move,Switchfoot,The Beautiful Letdown
2008/01/01/1199167200510_27946.wav,Home,Three Days Grace,Three Days Grace
2008/01/01/1199167200510_45656.wav,Who Knew,P!nk,I'm Not Dead
2008/01/01/1199167200511_41953.wav,Dear Mama,2Pac,Me Against the World
2008/01/01/1199167200512_58537.wav,Pancho and Lefty,Emmylou Harris,Luxury Liner
2008/01/01/1199167200512_78823.wav,Valentine,Jim Brickman,Jim Brickman: Greatest Hits
2008/01/01/1199167200513_11686.wav,Car Wheels on a Gravel Road,Lucinda Williams,Car Wheels on a Gravel Road
2008/01/01/1199167200514_51132.wav,I Could Not Ask for More,Sara Evans,Born to Fly
2008/01/01/1199167200514_57411.wav,Hail Mary,2Pac,2Pac: Greatest Hits
2008/01/01/1199167200515_62564.wav,For No One,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200515_91705.wav,Run (I'm a Natural Disaster),Gnarls Barkley,The Odd Couple
2008/01/01/1199167200516_20865.wav,Stand By Me,John Lennon,Rock 'n' Roll (Remastered)
2008/01/01/1199167200516_47430.wav,Me and Bobby McGee,Janis Joplin,Pearl
2008/01/01/1199167200516_99434.wav,She's Always a Woman,Billy Joel,The Stranger
2008/01/01/1199167200517_52583.wav,Gone for Good,The Shins,Chutes Too Narrow
2008/01/01/1199167200517_64014.wav,Close to You,Maxi Priest,Best of Me
2008/01/01/1199167200518_28594.wav,Tiny Dancer,Ben Folds,Ben Folds Live
2008/01/01/1199167200518_31170.wav,Carry On Wayward Son,Kansas,The Best of Kansas
2008/01/01/1199167200518_71743.wav,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds
2008/01/01/1199167200518_92029.wav,Dream All Day,The Posies,Frosting on the Beater
2008/01/01/1199167200519_76895.wav,Who Knew,P!nk,I'm Not Dead
2008/01/01/1199167200519_97182.wav,Into Your Arms,The Lemonheads,Come On Feel the Lemonheads
2008/01/01/1199167200520_12334.wav,A Better Man,Clint Black,Killin' Time
2008/01/01/1199167200520_38899.wav,If I Had a Boat,Lyle Lovett,Anthology Volume 1: Cowboy Man
2008/01/01/1199167200520_79472.wav,Shimmer,Fuel,The Best of Fuel
2008/01/01/1199167200520_99758.wav,La Cienega Just Smiled,Ryan Adams,Gold
2008/01/01/1199167200521_23765.wav,Glamorous,Fergie,The Dutchess
2008/01/01/1199167200521_75769.wav,Family Tradition,"Hank Williams, Jr.","Hank Williams, Jr.'s Greatest Hits, Vol. 1"
2008/01/01/1199167200523_45502.wav,Sexy Love,Ne-Yo,In My Own Words
2008/01/01/1199167200523_94929.wav,Promise Ring,Tiffany Evans featuring Ciara,Promise Ring - Single
2008/01/01/1199167200524_50654.wav,Beautiful Day,U2,The Best of 1990-2000
2008/01/01/1199167200525_26666.wav,Hey Julie,Fountains of Wayne,Welcome Interstate Managers
2008/01/01/1199167200525_35521.wav,Too Bad,Nickelback,Silver Side Up
2008/01/01/1199167200525_44376.wav,Thank God I'm a Country Boy,John Denver,The Essential John Denver
2008/01/01/1199167200526_31818.wav,Behind Closed Doors,Charlie Rich,Love Songs
2008/01/01/1199167200526_63536.wav,Zanzibar,Billy Joel,52nd Street
2008/01/01/1199167200526_72391.wav,If Everyone Cared,Nickelback,All the Right Reasons
2008/01/01/1199167200526_81246.wav,Ain't Talkin' 'Bout Love,Van Halen,Van Halen
2008/01/01/1199167200526_83822.wav,Beg,Evans Blue,The Melody and the Energetic Nature of Volume
2008/01/01/1199167200527_16685.wav,Gimme Dat (feat. Bobby Valentino & Ludacris),Chingy,Hate It or Love It
2008/01/01/1199167200527_97830.wav,Signal In the Sky,The Apples In Stereo,#1 Hits Explosion
2008/01/01/1199167200528_21837.wav,Bubble Toes,Jack Johnson,Brushfire Fairytales (Remastered) [Bonus Version]
2008/01/01/1199167200528_39547.wav,Flowers on the Wall,Statler Brothers,The Best of the Statler Brothers
2008/01/01/1199167200528_59833.wav,"Tonight, Tonight",Smashing Pumpkins,The Smashing Pumpkins: Greatest Hits
2008/01/01/1199167200528_71265.wav,Flashing Lights,Kanye West,Graduation
2008/01/01/1199167200530_32142.wav,I Still Miss You,Keith Anderson,C'mon!
2008/01/01/1199167200530_49852.wav,I'm So Hood,DJ Khaled,I'm So Hood - Single
2008/01/01/1199167200530_63860.wav,"Get Up, Stand Up",Bob Marley,Legend (Deluxe Edition)
2008/01/01/1199167200531_46150.wav,Good Time,Alan Jackson,Good Time
2008/01/01/1199167200532_80444.wav,When the Night Feels My Song,Bedouin Soundclash,Sounding a Mosaic
2008/01/01/1199167200534_23612.wav,Every Breath You Take,The Police,The Police
2008/01/01/1199167200534_52753.wav,#9 Dream,John Lennon,Walls and Bridges (Remastered)
2008/01/01/1199167200534_73039.wav,Apologize,OneRepublic,Dreaming Out Loud
2008/01/01/1199167200537_30214.wav,Big Girls Don't Cry (Personal),Fergie,The Dutchess
2008/01/01/1199167200537_47924.wav,Your Body Is a Wonderland,John Mayer,Room for Squares
2008/01/01/1199167200538_15081.wav,Lips of an Angel,Hinder,Extreme Behavior
2008/01/01/1199167200538_35367.wav,Leave Me to Bleed,Erasure,The Circus
2008/01/01/1199167200538_55653.wav,Tiny Dancer,Ben Folds,Ben Folds Live
2008/01/01/1199167200539_20233.wav,Bennie and the Jets,Elton John,Goodbye Yellow Brick Road
2008/01/01/1199167200539_29088.wav,Irreplaceable,Beyoncé,B'Day
2008/01/01/1199167200539_81092.wav,Everything About You,Ugly Kid Joe,America's Least Wanted
2008/01/01/1199167200540_13955.wav,More Than a Feeling,Boston,Boston
2008/01/01/1199167200540_16531.wav,Come Sail Away,Styx,Come Sail Away - The Styx Anthology
2008/01/01/1199167200540_95100.wav,Gone for Good,The Shins,Chutes Too Narrow
2008/01/01/1199167200541_88821.wav,I Ride an Old Paint,Riders In the Sky,Best of the West
2008/01/01/1199167200543_11702.wav,If I Could Only Win Your Love,Emmylou Harris with Herb Pedersen,Heartaches & Highways: The Very Best of Emmylou Harris
2008/01/01/1199167200543_72561.wav,Pink Bullets,The Shins,Chutes Too Narrow
2008/01/01/1199167200543_87695.wav,Take You There,Sean Kingston,Sean Kingston - Deluxe
2008/01/01/1199167200544_14279.wav,A Boy Named Sue,Johnny Cash,The Essential Johnny Cash
2008/01/01/1199167200544_92847.wav,Whine Up,Kat DeLuna featuring Elephant Man,Whine Up (Remixes) - EP
2008/01/01/1199167200545_51149.wav,Coca Cola Cowboy,Tex Robinson,Wanna Stay
2008/01/01/1199167200546_47446.wav,Do You Believe In Magic?,The Lovin' Spoonful,Do You Believe In Magic
2008/01/01/1199167200546_88019.wav,1979,Smashing Pumpkins,Mellon Collie and the Infinite Sadness
2008/01/01/1199167200547_18305.wav,The Devil Went Down to Georgia,The Charlie Daniels Band,The Essential Charlie Daniels Band
2008/01/01/1199167200547_58878.wav,Your Body Is a Wonderland,John Mayer,Room for Squares
2008/01/01/1199167200548_34889.wav,Yahhh!,Soulja Boy Tell 'Em,Souljaboytellem.com
2008/01/01/1199167200548_46320.wav,Kissing the Lipless,The Shins,Chutes Too Narrow
2008/01/01/1199167200549_42618.wav,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,Turn! Turn! Turn!
2008/01/01/1199167200549_71759.wav,My Favourite Game,The Cardigans,Gran Turismo
2008/01/01/1199167200550_97198.wav,Ice Box,Omarion,21
2008/01/01/1199167200551_23782.wav,If Everyone Cared,Nickelback,All the Right Reasons
2008/01/01/1199167200551_61778.wav,Wherever You Will Go,The Calling,Camino Palmero
2008/01/01/1199167200552_35213.wav,Fortunate Son,Creedence Clearwater Revival,Creedence Clearwater Revival: The Complete Collection
2008/01/01/1199167200552_64354.wav,Bohemian Rhapsody,Queen,Classic Queen
2008/01/01/1199167200552_69507.wav,Love Is a Battlefield,Pat Benatar,Best Shots
2008/01/01/1199167200554_48095.wav,Look After You,The Fray,How to Save a Life
2008/01/01/1199167200554_68381.wav,Feel Good Inc,Gorillaz,Demon Days
2008/01/01/1199167200555_91243.wav,Strong Enough,Sheryl Crow,Strong Enough
2008/01/01/1199167200556_29259.wav,To a Child,Laura Nyro,Stoned Soul Picnic: The Best of Laura Nyro
2008/01/01/1199167200556_55823.wav,I Remember,Keyshia Cole,Just Like You
2008/01/01/1199167200556_96396.wav,How Far We've Come,Matchbox Twenty,Exile On Mainstream
2008/01/01/1199167200557_22980.wav,Like a Stone,Audioslave,Audioslave
2008/01/01/1199167200557_63552.wav,Dear God,XTC,Skylarking
2008/01/01/1199167200557_92694.wav,A Million Miles Away,The Plimsouls,Everywhere at Once
2008/01/01/1199167200559_33285.wav,I'm Shakin',Rooney,Rooney
2008/01/01/1199167200559_65003.wav,Sweet Dreams,Emmylou Harris,Elite Hotel
2008/01/01/1199167200559_91567.wav,Cruel to Be Kind (Original Version),Nick Lowe,Jesus of Cool
2008/01/01/1199167200559_94144.wav,We Will Rock You,Queen,Queen: Greatest Hits
2008/01/01/1199167200560_27006.wav,Constant Craving,k.d. lang,Ingénue
2008/01/01/1199167200560_49869.wav,Monday Morning Church,Alan Jackson,What I Do
2008/01/01/1199167200561_11873.wav,Eat You Alive,Limp Bizkit,Results May Vary
2008/01/01/1199167200561_52445.wav,Eight Miles High,The Byrds,Greatest Hits
2008/01/01/1199167200562_10747.wav,Drive,Ziggy Marley,50 First Dates (Love Songs from the Original Motion Picture)
2008/01/01/1199167200562_19602.wav,Magic Carpet Ride,Steppenwolf,Steppenwolf the Second
2008/01/01/1199167200562_28457.wav,You Can Close Your Eyes,James Taylor,Mud Slide Slim and the Blue Horizon
2008/01/01/1199167200562_51319.wav,The Logical Song,Supertramp,Breakfast in America
2008/01/01/1199167200562_57598.wav,Take You There,Sean Kingston,Sean Kingston - Deluxe
2008/01/01/1199167200562_69029.wav,What About Now,Daughtry,Daughtry (Deluxe Edition)
2008/01/01/1199167200563_24754.wav,Better Man,Pearl Jam,Vitalogy
2008/01/01/1199167200563_62750.wav,Everlong,Foo Fighters,The Colour and the Shape
2008/01/01/1199167200563_76758.wav,Those Three Days,Lucinda Williams,World Without Tears
2008/01/01/1199167200563_85613.wav,Real Real Gone,Van Morrison,Still On Top - The Greatest Hits (Deluxe Version)
2008/01/01/1199167200564_59048.wav,Battery Dolly,Beenie Man,Street Sweep Riddim
2008/01/01/1199167200565_32483.wav,Beautiful Girls,Sean Kingston,Sean Kingston
2008/01/01/1199167200566_19926.wav,Low (feat. T-Pain),Flo Rida,Mail On Sunday
2008/01/01/1199167200566_37636.wav,You Hurt Me (And I Hate You),Eurythmics,We Too Are One
2008/01/01/1199167200566_69353.wav,Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction
2008/01/01/1199167200566_89639.wav,"Old Dogs, Children and Watermelon Wine",Tom T. Hall,The Definitive Collection: Tom T. Hall
2008/01/01/1199167200568_12521.wav,The Water Is Wide,James Taylor,New Moon Shine
2008/01/01/1199167200568_32807.wav,Big Me,Foo Fighters,Foo Fighters
2008/01/01/1199167200568_39086.wav,Girls Dem Sugar (Featuring Mya),Beenie Man,From Kingston to King of the Dancehall - A Collection of Dancehall Favorites
2008/01/01/1199167200568_41662.wav,Into the Night,Santana,Ultimate Santana
2008/01/01/1199167200568_47941.wav,Still Fighting It,Ben Folds,Rockin' the Suburbs
2008/01/01/1199167200568_50517.wav,I Was Country When Country Wasn't Cool (Duet with George Jones),Barbara Mandrell & George Jones,20th Century Masters - The Millennium Collection: The Best of Barbara Mandrell
2008/01/01/1199167200569_17673.wav,Part Two,Burning Spear,"The Burning Spear Experience, Vol. 1"
2008/01/01/1199167200569_44238.wav,Livin' On a Prayer,Bon Jovi,Slippery When Wet
2008/01/01/1199167200569_67101.wav,Stand By Your Man,Tammy Wynette,Stand By Your Man
2008/01/01/1199167200571_34257.wav,Cumbersome,Seven Mary Three,American Standard
2008/01/01/1199167200571_74830.wav,Sister Golden Hair,America,Hearts
2008/01/01/1199167200571_95116.wav,The Reason,Hoobastank,The Reason
2008/01/01/1199167200572_30555.wav,Hallelujah,Leonard Cohen,The Essential Leonard Cohen
2008/01/01/1199167200573_85135.wav,In My Daughter's Eyes,Martina McBride,Martina
2008/01/01/1199167200574_49715.wav,Wasted Days and Wasted Nights,Freddy Fender,Before the Next Teardrop Falls
2008/01/01/1199167200574_52291.wav,(Lying Here With) Linda on My Mind,Conway Twitty,Conway Twitty: The #1 Hits Collection
2008/01/01/1199167200574_70001.wav,Love Is a Battlefield,Pat Benatar,Best Shots
2008/01/01/1199167200575_54868.wav,Feels Like Tonight,Daughtry,Daughtry
2008/01/01/1199167200576_13169.wav,1979,Smashing Pumpkins,Mellon Collie and the Infinite Sadness
2008/01/01/1199167200577_27177.wav,Stay Down,Mary J. Blige,Growing Pains
2008/01/01/1199167200577_67749.wav,Just Fine,Mary J. Blige,Serena Williams' Spontaneous Speed
2008/01/01/1199167200577_96890.wav,Superman,Five for Fighting,"Songs from Dawson's Creek, Vol. 2"
2008/01/01/1199167200578_90612.wav,Jessie's Girl,Rick Springfield,The Best of Rick Springfield
2008/01/01/1199167200579_89486.wav,From Yesterday,30 Seconds to Mars,A Beautiful Lie
2008/01/01/1199167200580_24924.wav,Restless,Alison Krauss & Union Station,Lonely Runs Both Ways
2008/01/01/1199167200580_74352.wav,Sweet Baby James,James Taylor,"James Taylor: Greatest Hits, Vol. 1"
2008/01/01/1199167200580_92062.wav,"Guitars, Cadillacs",Dwight Yoakam,"Guitars, Cadillacs, Etc., Etc. (Expanded)"
2008/01/01/1199167200581_18646.wav,Talking In Your Sleep,The Romantics,What I Like About You (And Other Romantic Hits)
2008/01/01/1199167200581_27501.wav,Mr. Jones,Counting Crows,August and Everything After
2008/01/01/1199167200581_97214.wav,Hurt,Nine Inch Nails,The Downward Spiral
2008/01/01/1199167200582_55516.wav,I Love a Rainy Night,Eddie Rabbitt,Horizon
2008/01/01/1199167200583_26375.wav,Are You Gonna Be My Girl,Jet,Get Born
2008/01/01/1199167200583_46661.wav,Jealous of the Moon,Nickel Creek,Why Should the Fire Die?
2008/01/01/1199167200583_49237.wav,When Did Your Heart Go Missing?,Rooney,Calling the World
2008/01/01/1199167200583_58092.wav,Small Town Southern Man,Alan Jackson,Good Time
2008/01/01/1199167200584_42958.wav,Love Me Two Times,The Doors,The Very Best of the Doors (Bonus Track Version)
2008/01/01/1199167200585_88684.wav,You Really Got Me,Van Halen,Van Halen
2008/01/01/1199167200586_82405.wav,Foolin',Def Leppard,Mirror Ball - Live & More (Deluxe Version)
2008/01/01/1199167200586_96412.wav,She Will Be Loved,Maroon 5,Songs About Jane
2008/01/01/1199167200588_63569.wav,Photograph,Weezer,Weezer (Green Album)
2008/01/01/1199167200588_72424.wav,Songs About Rain,Gary Allan,See If I Care
2008/01/01/1199167200589_39580.wav,Shoot the Moon,Norah Jones,Come Away With Me
2008/01/01/1199167200590_27023.wav,Mr. Brightside,The Killers,Hot Fuss
2008/01/01/1199167200590_47309.wav,Too Far Gone,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200590_62443.wav,Tempted (94),Squeeze,Reality Bites (Original Motion Picture Soundtrack)
2008/01/01/1199167200590_65019.wav,Strip Tease,Danity Kane,Welcome to the Dollhouse
2008/01/01/1199167200590_96737.wav,Look After You,The Fray,How to Save a Life
2008/01/01/1199167200592_66469.wav,I Want Out,Pat Benatar,Get Nervous
2008/01/01/1199167200592_77901.wav,Spanish Is a Loving Tongue,Emmylou Harris,Songs of the West
2008/01/01/1199167200593_19618.wav,The Sweet Escape,Gwen Stefani,The Sweet Escape
2008/01/01/1199167200593_80477.wav,Breathe,Faith Hill,The Hits
2008/01/01/1199167200594_67919.wav,Trouble,Coldplay,Parachutes
2008/01/01/1199167200595_18492.wav,I Stand Alone,Godsmack,Faceless
2008/01/01/1199167200595_29923.wav,Bottle It Up,Sara Bareilles,Little Voice
2008/01/01/1199167200596_26221.wav,I Walk the Line,Johnny Cash,With His Hot and Blue Guitar
2008/01/01/1199167200596_35076.wav,Into the Mystic,Van Morrison,Moondance
2008/01/01/1199167200596_43931.wav,Black Water,The Doobie Brothers,What Were Once Vices Are Now Habits
2008/01/01/1199167200596_46507.wav,Crazy As a Loon,John Prine,Fair and Square
2008/01/01/1199167200596_64217.wav,Queen of the Silver Dollar,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200596_87080.wav,Bluebird Wine,Emmylou Harris,Pieces of the Sky
2008/01/01/1199167200597_22518.wav,Vasoline (Live from Chicago) [Bonus Track],Stone Temple Pilots,Stone Temple Pilots (Deluxe Version)
2008/01/01/1199167200597_69370.wav,Two More Bottles of Wine,Emmylou Harris,Quarter Moon in a Ten Cent Town
2008/01/01/1199167200597_92232.wav,Used to Love U,John Legend,Get Lifted
2008/01/01/1199167200598_18816.wav,Come Away With Me,Norah Jones,Come Away With Me
2008/01/01/1199167200599_61965.wav,You Make Me Wanna...,Usher,Usher: Live
2008/01/01/1199167200599_70820.wav,Shake It Up,The Cars,Shake It Up
2008/01/01/1199167200599_73396.wav,Who You'd Be Today,Kenny Chesney,The Road and the Radio
2008/01/01/1199167200600_37976.wav,"Screw You, We're from Texas",Ray Wylie Hubbard,Growl
2008/01/01/1199167200600_64541.wav,My Back Pages,The Byrds,Greatest Hits
2008/01/01/1199167200600_75972.wav,Black Coffee in Bed,Squeeze,Squeeze: Greatest Hits
2008/01/01/1199167200602_25419.wav,Sea Legs,The Shins,Wincing the Night Away
2008/01/01/1199167200602_45705.wav,Coca Cola Cowboy,Tex Robinson,Wanna Stay
2008/01/01/1199167200602_65991.wav,Fire and Smoke,Earl Thomas Conley,The Essential Earl Thomas Conley
2008/01/01/1199167200602_79999.wav,Do You Believe In Magic?,The Lovin' Spoonful,Do You Believe In Magic
2008/01/01/1199167200604_87728.wav,Victim of Love,Erasure,The Circus
2008/01/01/1199167200606_16888.wav,Down In a Hole,Ryan Adams & The Cardinals,Follow the Lights - EP
2008/01/01/1199167200606_80323.wav,Kissing the Lipless,The Shins,Chutes Too Narrow
2008/01/01/1199167200606_98033.wav,Drink the Water,Jack Johnson,Brushfire Fairytales (Remastered) [Bonus Version]
2008/01/01/1199167200607_15762.wav,Losing Hope,Jack Johnson,Brushfire Fairytales (Remastered) [Bonus Version]
2008/01/01/1199167200608_27193.wav,Africa,Toto,Toto IV
2008/01/01/1199167200608_79197.wav,Drown You Out,Crossfade,Falling Away
2008/01/01/1199167200608_88052.wav,If You Could Only See,Tonic,Lemon Parade
2008/01/01/1199167200608_90628.wav,The Way I Are (feat. Keri Hilson & D.O.E.),Timbaland,Shock Value
2008/01/01/1199167200609_34922.wav,Don't Blink,Kenny Chesney,Just Who I Am: Poets & Pirates
2008/01/01/1199167200610_28643.wav,I Shot the Sheriff,Bob Marley,Burnin'
2008/01/01/1199167200612_30093.wav,Girl,Destiny's Child,Destiny Fulfilled
2008/01/01/1199167200612_38948.wav,Collide,Howie Day,Stop All the World Now
2008/01/01/1199167200613_12384.wav,When the Stars Go Blue,Ryan Adams,Gold
2008/01/01/1199167200613_23815.wav,Dig,Incubus,Light Grenades
2008/01/01/1199167200613_35246.wav,All My Rowdy Friends Are Coming Over Tonight,"Hank Williams, Jr.",Best Of - All My Rowdy Friends
2008/01/01/1199167200613_55532.wav,Here Without You,3 Doors Down,Away from the Sun
2008/01/01/1199167200614_31544.wav,Night Nurse,Gregory Isaacs,Night Nurse
2008/01/01/1199167200614_60685.wav,Stop Draggin' My Heart Around,Tom Petty & The Heartbreakers & Stevie Nicks,Anthology - Through the Years
2008/01/01/1199167200614_92402.wav,Love Story,Katharine McPhee,Katharine McPhee
2008/01/01/1199167200615_56983.wav,You're Still the One,Shania Twain,Come on Over
2008/01/01/1199167200616_18986.wav,When I See U,Fantasia,Fantasia
2008/01/01/1199167200616_21563.wav,Our House,Phantom Planet,Our House - Single
2008/01/01/1199167200616_32994.wav,Animal I Have Become,Three Days Grace,One X
2008/01/01/1199167200616_70990.wav,Paradise City,Guns N' Roses,Appetite for Destruction
2008/01/01/1199167200617_17860.wav,Battle of Who Could Care Less,Ben Folds Five,Whatever and Ever Amen
2008/01/01/1199167200617_87574.wav,Car Wheels on a Gravel Road,Lucinda Williams,Car Wheels on a Gravel Road
2008/01/01/1199167200618_11582.wav,Baby Boy (Featuring Beyonce),Sean Paul & Beyoncé,Dutty Rock
2008/01/01/1199167200618_49578.wav,Here I Go Again,Whitesnake,Here I Go Again - The Whitesnake Collection
2008/01/01/1199167200619_28165.wav,Check On It (feat. Bun B & Slim Thug),Beyoncé,Check On It (feat. Bun B & Slim Thug) - EP
2008/01/01/1199167200619_48452.wav,The Nearness of You,Norah Jones,Come Away With Me
2008/01/01/1199167200619_83872.wav,China Grove,The Doobie Brothers,The Very Best of The Doobie Brothers
2008/01/01/1199167200619_95303.wav,Every Time You Say Goodbye,Alison Krauss & Union Station,Every Time You Say Goodbye
2008/01/01/1199167200620_13032.wav,Sweat (A La La La La Long),Inner Circle,Blazzin' Fire: Classic Cuts
2008/01/01/1199167200620_19310.wav,Fool Hearted Memory,George Strait,Strait from the Heart
2008/01/01/1199167200622_29616.wav,Caring Is Creepy,The Shins,"Oh, Inverted World"
2008/01/01/1199167200622_43623.wav,Heat of the Moment,Asia,Asia
2008/01/01/1199167200622_72764.wav,My Favourite Game,The Cardigans,Gran Turismo
2008/01/01/1199167200623_14482.wav,You Needed Me,Anne Murray,Anne Murray - The Best...So Far
2008/01/01/1199167200623_57631.wav,I Won't Tell,Fat Joe,The Elephant In The Room
